x(m)           y(m)           x(m)           lat(degs)      lon(degs)      heading(rads)  pitch(rads)    roll(rads)     
-51237.50000   9900.00000     1200.00000     33.58778       35.44570       1.57080        0.00000        0.00000        
-51002.50000   9900.00000     1200.00000     33.58779       35.44823       1.57080        0.00000        0.00000        
-50767.50000   9900.00000     1200.00000     33.58780       35.45076       1.57080        0.00000        0.00000        
-50532.50000   9900.00000     1200.00000     33.58781       35.45329       1.57080        0.00000        0.00000        
-50297.50000   9900.00000     1200.00000     33.58782       35.45582       1.57080        0.00000        0.00000        
-50062.50000   9900.00000     1200.00000     33.58783       35.45835       1.57080        0.00000        0.00000        
-49829.30911   9929.10339     1200.00000     33.58810       35.46086       1.57296        0.00000        0.02742        
-49596.11821   9958.20678     1200.00000     33.58838       35.46337       1.57296        0.00000        0.02742        
-49362.92732   9987.31016     1200.00000     33.58865       35.46588       1.57296        0.00000        0.02742        
-49129.73643   10016.41355    1200.00000     33.58892       35.46839       1.57296        0.00000        0.02742        
-48896.54553   10045.51694    1200.00000     33.58920       35.47090       1.57296        0.00000        0.02742        
-48663.35464   10074.62033    1200.00000     33.58947       35.47341       1.57296        0.00000        0.02742        
-48430.16375   10103.72371    1200.00000     33.58974       35.47592       1.57296        0.00000        0.02742        
-48196.97285   10132.82710    1200.00000     33.59002       35.47843       1.57296        0.00000        0.02742        
-47963.78196   10161.93049    1200.00000     33.59029       35.48094       1.57296        0.00000        0.02742        
-47730.59106   10191.03388    1200.00000     33.59056       35.48345       1.57296        0.00000        0.02742        
-47497.40017   10220.13726    1200.00000     33.59083       35.48596       1.57296        0.00000        0.02742        
-47264.20928   10249.24065    1200.00000     33.59111       35.48847       1.57296        0.00000        0.02742        
-47031.01838   10278.34404    1200.00000     33.59138       35.49098       1.57296        0.00000        0.02742        
-46797.82749   10307.44743    1200.00000     33.59165       35.49349       1.57296        0.00000        0.02742        
-46564.63660   10336.55081    1200.00000     33.59192       35.49600       1.57296        0.00000        0.02742        
-46331.44570   10365.65420    1200.00000     33.59220       35.49851       1.57296        0.00000        0.02742        
-46098.25481   10394.75759    1200.00000     33.59247       35.50102       1.57296        0.00000        0.02742        
-45865.06392   10423.86098    1200.00000     33.59274       35.50353       1.57296        0.00000        0.02742        
-45631.87302   10452.96437    1200.00000     33.59301       35.50604       1.57296        0.00000        0.02742        
-45398.68213   10482.06775    1200.00000     33.59329       35.50855       1.57296        0.00000        0.02742        
-45165.49124   10511.17114    1200.00000     33.59356       35.51106       1.57296        0.00000        0.02742        
-44932.30034   10540.27453    1200.00000     33.59383       35.51357       1.57296        0.00000        0.02742        
-44699.10945   10569.37792    1200.00000     33.59410       35.51608       1.57296        0.00000        0.02742        
-44465.91856   10598.48130    1200.00000     33.59438       35.51859       1.57296        0.00000        0.02742        
-44232.72766   10627.58469    1200.00000     33.59465       35.52110       1.57296        0.00000        0.02742        
-43999.53677   10656.68808    1200.00000     33.59492       35.52361       1.57296        0.00000        0.02742        
-43766.34587   10685.79147    1200.00000     33.59519       35.52612       1.57296        0.00000        0.02742        
-43533.15498   10714.89485    1200.00000     33.59546       35.52863       1.57296        0.00000        0.02742        
-43299.96409   10743.99824    1200.00000     33.59574       35.53114       1.57296        0.00000        0.02742        
-43066.77319   10773.10163    1200.00000     33.59601       35.53365       1.57296        0.00000        0.02742        
-42833.58230   10802.20502    1200.00000     33.59628       35.53616       1.57296        0.00000        0.02742        
-42600.39141   10831.30840    1200.00000     33.59655       35.53867       1.57296        0.00000        0.02742        
-42367.20051   10860.41179    1200.00000     33.59682       35.54118       1.57296        0.00000        0.02742        
-42134.00962   10889.51518    1200.00000     33.59709       35.54369       1.57296        0.00000        0.02742        
-41900.81873   10918.61857    1200.00000     33.59737       35.54620       1.57296        0.00000        0.02742        
-41667.62783   10947.72196    1200.00000     33.59764       35.54871       1.57296        0.00000        0.02742        
-41434.43694   10976.82534    1200.00000     33.59791       35.55122       1.57296        0.00000        0.02742        
-41201.24605   11005.92873    1200.00000     33.59818       35.55373       1.57296        0.00000        0.02742        
-40968.05515   11035.03212    1200.00000     33.59845       35.55624       1.57296        0.00000        0.02742        
-40734.86426   11064.13551    1200.00000     33.59872       35.55875       1.57296        0.00000        0.02742        
-40501.67337   11093.23889    1200.00000     33.59899       35.56127       1.57296        0.00000        0.02742        
-40268.48247   11122.34228    1200.00000     33.59926       35.56378       1.57296        0.00000        0.02742        
